Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Linkfluence,linkfluence.com,German Media monitoring company.,178,174,4,2%,167,11,7%,"44,847","43,894",2%,"50,008",-10%,,,,,,5,24,69,2006,C,"BNP Paribas,Banexi Ventures,Orkos Capital",$20.2M¾,10/13/16,"$13,201,560 ",Paris,Paris,,,France,Europe,B2B,"analytics,marketing,marketing analytics","crm,productivity,relationship management,social media",No,No,No
Linkwell Health,linkwellhealth.com,"Linkwell Health, a consumer engagement company, promotes¾health by combining health plans, better-for-you brands, drugstores and retailers.",20,19,1,5%,21,-1,-5%,16,21,-24%,44,-64%,,,,,,49,-12,266,2008,C,"HLM Venture Partners,Spark Capital",$19.3M¾,1/30/13,"$11,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,fitness and wellness,marketing,marketing analytics",health & wellness,Yes,Yes,No
LioNBRIDGE Technology,lionbridge.com,The world's largest localization company. Lionbridge provides professional global marketing and translation services for the world's top brands.,"3,781","3,635",146,4%,"2,993",788,26%,"631,627","630,547",0%,"624,935",1%,,,,,,,,,1996,Exited (ipo),,Undisclosed,,Undisclosed,Boston,Waltham,Boston,MA,United States,North America,"B2B,Consulting","analytics,marketing",,No,No,No
Litle & Co,litle.com,The leading authority in eCommerce and online payment processing. Learn how we can help your business at www.litle.com.,84,86,-2,-2%,98,-14,-14%,"54,862","56,437",-3%,"52,313",5%,,,,,,,,,2001,Exited (acquired),,Undisclosed,,Undisclosed,Boston,Lowell,Boston,MA,United States,North America,B2B,"analytics,banking,finance,payments",,No,No,No
Live Action,liveaction.com,LiveAction is an award winning application aware network performance management software designed to simplify network management.,75,78,-3,-4%,66,9,14%,"8,480","8,713",-3%,"7,697",10%,,,,,,13,18,97,2007,B,"Accelerate-IT Advisors (AITA),Cisco Investments,Enerdigm Ventures,Insight Venture Partners",$41.9M¾,2/16/16,"$36,000,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,network / hosting / infrastructure,security,storage",it,No,No,No
LivePerson,liveperson.com,"LivePerson is the market leader in real-time intelligent customer engagement. The company provides a leading platform that enables businesses to leverage customer engagement data in real time. Our investment in Big Data technologies, real-time analytics and metrics makes this possible at scale.","1,127","1,126",1,0%,"1,121",6,1%,"449,330","456,694",-2%,"476,710",-6%,,"1,216",,"5,200",,56,164,2466,1995,Exited (ipo),Highland Capital Partners,$2.3M¾,6/28/12,"$2,300,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,customer support,human resources hr,marketing,marketing analytics",,Yes,Yes,Yes
LiveWorld,liveworld.com,LiveWorld's social media services & software allow brands to scale human engagement to improve social customer service and social marketing programs.,101,104,-3,-3%,118,-17,-14%,"5,246","5,036",4%,"5,421",-3%,,,,,,,,,1996,Exited (ipo),,Undisclosed,,Undisclosed,Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"analytics,customer support,marketing,marketing analytics",,No,No,No
loanDepot,loandepot.com,"An emerging-growth nonbank consumer lender and market leader offering home mortgage, refinance, equity, and personal loan products in all 50 states.","3,630","3,545",85,2%,"1,370","2,260",165%,"146,351","144,946",1%,"131,654",11%,,,,,,38,2947,21841,2010,Late,Parthenon Capital Partners,$12.2M¾,1/15/14,"$12,199,000 ",Los Angeles,Foothill Ranch,Los Angeles,CA,United States,North America,B2C,"analytics,banking,finance",,No,No,No
Locu,locu.com,Water damage and restoration service,20,20,0,0%,19,1,5%,"685,314","686,867",0%,"647,131",6%,,,,,,58,2,70,2011,Exited (acquired),"Andrew McCollum,Babak Nivi,Bruno Bowden,Dharmesh Shah,Edward Roberts,General Catalyst Partners,Gil Elbaz,Jean Hammond,Jeff Hammerbacher,Lightbank,Lowercase Capital,Matt Ocko,Michael Abbott,Naval Ravikant,Quotidian Ventures,SV Angel,TenOneTen Ventures",$4.6M¾,4/23/12,"$4,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,consumer services,hospitality,human resources hr,marketing,search","apis,content,local,restaurants",No,No,No
Logi Analytics,logianalytics.com,"Logi Analytics embeds business intelligence in the fabric of your organization and products. With Logi, you can create analytic apps for every user's needs.",199,206,-7,-3%,212,-13,-6%,"41,058","37,813",9%,"40,646",1%,,,,,,41,24,811,2000,Late,"Grotech Ventures,LLR Partners,Summit Partners,Updata Partners",$45.5M¾,10/15/13,"$27,500,000 ",Mclean,Mclean,Washington D.C.,VA,United States,North America,"B2B,Consulting","analytics,enterprise software,human resources hr,marketing,marketing analytics,software development","big data,business intelligence",No,No,No
Logical Information Machines,lim.com,"The world's most influential companies leverage LIM's industry-specific data solutions to perform the most sophisticated, global historical",,,,,,,,13,19,-32%,38,-66%,,,,,,,,,,Exited (acquired),,Undisclosed,,Undisclosed,,,,,,,B2B,"analytics,data storage,finance,marketing,marketing analytics,storage",,No,No,No
"LongShine Technology Co., Ltd.",longshine.com,"LongShine Technology offers information technology research and development, technical consulting, and system operation management services.",,,,,,,,191,264,-28%,574,-67%,,,,,,198,,,,Exited (ipo),,$0¾,9/1/00,Undisclosed,Wu Xi,Wu Xi,,,China,Asia,B2B,analytics,,No,No,No
Looker,looker.com,"Looker is a business intelligence software and big data analytics platform that helps you explore, analyze and share real-time business analytics easily.",265,248,17,7%,216,49,23%,"446,553","451,293",-1%,"462,283",-3%,,,,,,14,136,961,2012,C,"First Round Capital,Kindred Partners,Kleiner Perkins Caufield & Byers,Meritech Capital Partners,PivotNorth Capital,Redpoint Ventures,Sapphire Ventures",$96.0M¾,1/14/16,"$48,000,000 ",Bay Area,Santa Cruz,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,storage","big data,business intelligence",No,No,No
LookSmart,looksmart.net,Delivering Quality Traffic Across Multiple Channels,,,,,,,,,,,,,,,,,,,,,,Exited (acquired),,Undisclosed,,Undisclosed,London,London,London,,United Kingdom,Europe,,"advertising,analytics,marketing,marketing analytics",,No,No,No
LookSmart,looksmart.com,Search the web on LookSmart.,89,90,-1,-1%,97,-8,-8%,"294,237","290,283",1%,"254,870",15%,,,,,,,,,1997,Exited (ipo),,Undisclosed,,Undisclosed,Los Angeles,El Segundo,Los Angeles,CA,United States,North America,"Advertising,B2C","advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",ppc,No,No,No
LoopMe,loopme.com,"LoopMe is the largest mobile video platform, supporting all video and full-screen formats and reaching over 2 billion devices worldwide.",,,,,,,,,,,,,,,,,,0,0,,2012,B,"Harbert European Growth Capital Fund,Holtzbrinck Ventures,ImpulseVC,Open Ocean",$10.0M¾,3/7/17,"$10,000,000 ",London,London,,,United Kingdom,Europe,B2B,"advertising,analytics,gaming,marketing,marketing analytics",,No,No,No
LoudCloud Systems,loudcloudsystems.com,LoudCloud is a learning ecosystem creating an intelligent platform built on behavioral analytics for teaching and learning.,68,69,-1,-1%,67,1,1%,"1,676","1,493",12%,"2,053",-18%,,,,,,56,21,805,2010,Late,,$11.0M¾,6/27/12,"$9,999,990 ",Dallas,Dallas,Dallas,TX,United States,North America,B2B,"analytics,education,enterprise software,human resources hr",,No,No,No
Love Advertising,loveadv.com,"Love is a marriage of passionate creative mavericks and marketing mavens, working together to satisfy our clients' needs and produce some mind-blowing work in the process.",203,201,2,1%,196,7,4%,113,127,-11%,109,4%,,,,,,,,,1979,Exited (other),,Undisclosed,,Undisclosed,Houston,Houston,Houston,TX,United States,North America,,"advertising,analytics,human resources hr,marketing,marketing analytics",,No,No,No
Maana,maana.io,"Maana is a single, industry-agnostic, end-to-end platform that mines raw data of any type from any source; creates actionable information from that data; and operationalizes the information across existing line-of-business applications to enable data-driven decisions.",85,80,5,6%,71,14,20%,718,682,5%,"1,199",-40%,,,,,,10,28,146,2012,B,"Chevron Technology Ventures,ConocoPhillips Technology Ventures,Frost Data Capital,GE Ventures,Intel Capital,Saudi Aramco Energy Ventures",$42.6M¾,5/3/16,"$26,000,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,finance,marketing,marketing analytics,software development",,No,No,No
"MacroData, Inc.",macrodatalab.com,,,,,,,,,33,81,-59%,111,-70%,,,,,,,,,2014,Exited (other),,Undisclosed,,Undisclosed,Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"analytics,cloud computing,enterprise software,finance,software development","big data,business intelligence,developer tools",No,No,No
Mahindra Comviva,mahindracomviva.com,"Extensive portfolio of solutions spanning mobile finance, content, infotainment, customer value management, messaging, mobile data and managed VAS services.","2,157","2,123",34,2%,"1,918",239,12%,"20,701",,,,,,,,,,135,1141,23141,1999,Exited (acquired),"Cisco Investments,Sequoia Capital,Westbridge Capital Partners",$13.5M¾,12/4/05,"$13,500,000 ",Gurgaon,Gurgaon,,,India,Asia,,"analytics,marketing,marketing analytics,telecommunications",,No,No,No
Main Street Hub,mainstreethub.com,"Main Street Hub offers an integrated social, web, and email marketing product designed to help merchants get more customers and keep them coming back by spreading word of mouth, extending their customer service, managing their online reputation, and leveraging Main Street Hub's merchant network.",584,566,18,3%,545,39,7%,"372,032","379,258",-2%,"396,619",-6%,,,,,,20,166,1932,2010,C,"Bessemer Venture Partners,Harrison Metal,Vista Equity Partners",$43.1M¾,7/16/15,"$25,000,000 ",Austin,Austin,Austin,TX,United States,North America,"B2B,SaaS","analytics,customer support,email,enterprise software,human resources hr,marketing,marketing analytics,mobile,social networking","crm,local,relationship management,small & medium sized business,social media marketing",No,No,No
Maluuba,maluuba.com,"Maluuba is a global, natural language understanding company founded in 2011. The company's goal is to create a world where intelligent machines work hand-in-hand with humans to advance the collective intelligence of the human species. Maluuba's natural language technology has been deployed across more than 50 million devices in the smart phone, smart TV and IoT industries in over 10 languages. Maluuba's engineering and customer operations are located in Waterloo, Ontario, with a research office in Montreal dedicated to solving fundamental problems in language understanding for innovative products that will further advance AI systems.",49,48,1,2%,47,2,4%,108,66,64%,135,-20%,,,,,,13,9,76,2011,Exited (acquired),"Emerillon Capital,Nautilus Venture Partners,Samsung Ventures,VeloCity Waterloo",$8.2M¾,1/20/16,"$6,200,000 ",Waterloo,Waterloo,,ON,Canada,North America,"B2B,B2C","analytics,mobile,search","artificial intelligence,machine learning",No,No,No
Management Health Solutions,mhsinc.com,Management Health Solutions provides healthcare supply chain services that are transforming hospitals nationwide. We offer physical inventory services as well as state-of-the art materials management technology.,117,119,-2,-2%,110,7,6%,237,231,3%,149,59%,,,,,,82,61,1276,,B,"Enhanced Equity Fund,Radius Ventures",$7.0M¾,4/27/10,"$7,000,000 ",Stratford,Stratford,,CT,United States,North America,B2B,"analytics,healthcare,healthcare providers",,No,No,No
Manthan Systems,manthansystems.com,"Manthan is the world's leading producer of Advanced Analytics, Business Intelligence, Optimization and Analytics-driven Execution solutions for Retailers and Consumer Goods Manufacturers.",543,547,-4,-1%,538,5,1%,194,384,-49%,"1,880",-90%,,,,,,25,117,2419,2004,Late,"Draper Fisher Jurvetson (DFJ),Fidelity Growth Partners Europe,Fidelity Investments,IDG Ventures India,Innoven Partners,Norwest Venture Partners,Temasek Holdings",$78.0M¾,2/4/15,"$60,000,000 ",Bangalore,Bangalore,,,India,Asia,B2B,"analytics,enterprise software,market research,marketing,marketing analytics","business intelligence,performance management,productivity",No,No,No
MapAnything,mapanything.com,"MapAnything, which enables mapping, real-time location services, territory management, and analytics for use in targeted marketing. MapAnything is the most comprehensive mapping and geo-analytics solution available to Salesforce users.",42,33,9,27%,33,9,27%,,,,,,,,,,,1,,,2009,B,"Columbus Nova,David Stern,Greycroft Partners,Harbert Management Corporation,Michael Lazerow,Salesforce Ventures,ServiceNow",$40.4M¾,2/2/17,"$33,100,000 ",Charlotte,Charlotte,Charlotte,NC,United States,North America,B2B,"analytics,marketing,marketing analytics","crm,maps,productivity,relationship management,sales",No,No,No
MapR Technologies,mapr.com,"MapR Technologies provides an enterprise-grade, big data platform that supports¾mission-critical and real-time production uses.",508,500,8,2%,456,52,11%,"300,241","298,800",0%,"298,629",1%,,,,,,7,74,215,2009,Late,"Future Fund,Lightspeed Venture Partners,Mayfield Fund,New Enterprise Associates,Qualcomm Ventures,Redpoint Ventures",$224.0M¾,8/11/16,"$50,000,000 ",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"analytics,cloud computing,data storage,enterprise software,information security,marketing,marketing analytics,security,software development,storage","big data,hadoop,open source",No,No,No
Mapreduce,mapreduce.org,MapReduce.org provides the information,,,,,,,,17,43,-60%,78,-78%,,,,,,,,,,Exited (ipo),,Undisclosed,,Undisclosed,,,,,,,B2B,analytics,,No,No,No
MAPS Capital Management,mapscapital.com,"MAPS Capital provides C level executive services for startups, foreign companies seeking US presence, international marketing and business",2,2,0,0%,3,-1,-33%,4,4,0%,5,-20%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Bay Area,Walnut Creek,Bay Area,CA,United States,North America,,"analytics,cleantech,energy,human resources hr,mobile,social networking","mobile apps,renewable energy,solar,sustainability",No,No,No
Marfeel,marfeel.com,Marfeel is an advertising platform that allows users to create and optimize mobile websites.,64,60,4,7%,52,12,23%,"55,390","53,742",3%,"52,785",5%,,,,,,17,36,285,2011,B,",Bertelsmann Digital Media Investments,Elaia Partners,Nauta Capital,SeedRocket,Wayra",$3.5M¾,10/13/15,"$3,500,000 ",Barcelona,Barcelona,,,Spain,Europe,B2B,"advertising,analytics,marketing,marketing analytics,media,mobile,publishing","magazines,news,user experience,user experience design",No,No,No
Marimedia,marimedia.net,Marimedia is a performance-based online marketing network that helps businesses optimize ROI-driven marketing campaigns and raise revenue.,48,56,-8,-14%,96,-48,-50%,"2,376","1,991",19%,"1,891",26%,,,,,,,,,2007,Exited (ipo),,Undisclosed,,Undisclosed,Herzliya,Herzliya,,,Israel,Asia,B2B,"advertising,analytics,marketing,marketing analytics",digital marketing,No,No,No
Marin Software,marinsoftware.com,"Optimize your Search, Social & Display ads across channels and devices. Marin Software, the leading cross-channel performance advertising platform.",596,601,-5,-1%,626,-30,-5%,"722,705","720,389",0%,"718,274",1%,,,,,,48,105,2427,2006,Exited (ipo),"Amicus Capital,Benchmark,Crosslink Capital,DAG Ventures,Focus Ventures,Sapphire Ventures,Temasek Holdings,Triangle Peak Partners",$100.3M¾,3/5/13,"$19,999,979 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,search,storage","big data,marketing,ppc,search,search marketing,seo",No,No,No
Mark43,mark43.com,"Mark43 designs and develops the next generation of law enforcement software. Its platform streamlines information management and analysis to support local, state, and federal law enforcement agents as they share information to dismantle criminal organizations.",79,76,3,4%,52,27,52%,238,276,-14%,467,-49%,,,,,,8,35,198,2012,B,"Allen & Company,General Catalyst Partners,Govtech Fund,Harvard University,Innovation Endeavors,Launchpad LA,Lowercase Capital,Rough Draft Ventures,SV Angel,Sophia Bush,Spark Capital,Urban.Us",$39.8M¾,7/10/16,"$27,000,000 ",New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,enterprise software,human resources hr,mobile","big data,law enforcement,local",No,No,No
